protectedAreaName,nameAlias,protectedAreaType,state,wikipediaUrl,imageUrl,location,formed,area,notableFeatures,floraAndFauna,flora,fauna,riversAndLakes,landmarks
Salim Ali National Park,City Forest National Park(Salim Ali),National Park,Jammu and Kashmir,https://en.wikipedia.org/wiki/Salim_Ali_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Look_inside_salim_ali_national_park.jpg/250px-Look_inside_salim_ali_national_park.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Srinagar,1986,,Turned into the Royal Springs Golf Course,"Hangul, Brown bear, Indian paradise flycatcher, Himalayan Serow, Ring Dove, The Lesser Kestrel",,,Dal lake,
Betla National Park,,National Park,Jharkhand,https://en.wikipedia.org/wiki/Betla_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Entrance_of_Betla_national_park.jpg/250px-Entrance_of_Betla_national_park.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Near Medininagar,1974,,,,,"Tiger, Indian bison, elephant, hyenas, monkey, leopard",North Koel River,
Anshi National Park,,National Park,Karnataka,https://en.wikipedia.org/wiki/Anshi_National_Park,,,,,Part of Kali Tiger Reserve,,,"Great hornbill, tiger, leopard, black panther, bear, elephant.",Kali River (Karnataka),
Bandipur National Park,,National Park,Karnataka,https://en.wikipedia.org/wiki/Bandipur_National_Park,,,,,"Dry deciduous forest is dominant. Also include moist deciduous forests and shrublands. It is part of the Nilgiri Biosphere Reserve Invasive Alien Species - Lantana bush, Parthenium",,,"Chital, Bengal tiger, gray langurs, Indian giant squirrel, gaur, leopard, sambar deer, Indian elephants, honey buzzard, red-headed vulture","Kabini River, Moyar River",
Bannerghatta National Park,,National Park,Karnataka,https://en.wikipedia.org/wiki/Bannerghatta_National_Park,,,,,The park is part of a wildlife corridor for elephants which connects the BR Hills and the Sathyamangalam forest. Moist deciduous forest valleys and scrubland on higher areas,,,"Tiger, sloth bear, peacock, elephant, sambar deer, mouse deer, Leopard, Baboons, Reptiles, Asiatic Elephants, Birds, Butterflies, Nilgai, Wilddogs, Jackals, Wolves, Hyenas, Giraffe.Etc.",,
Kudremukh National Park,,National Park,Karnataka,https://en.wikipedia.org/wiki/Kudremukh_National_Park,,,,,,,,,The Tunga River and Bhadra River flow freely through the parklands,
Nagarhole National Park,Nagarhole National Park(Rajiv Gandhi),National Park,Karnataka,https://en.wikipedia.org/wiki/Nagarhole_National_Park,,,,,Kabini reservoir separates Nagarhole from Bandipur National Park,,,"Carnivores - Bengal tiger, Indian leopard, dhole, sloth bear and the striped hyena. Herbivores - chital, sambar deer, barking deer, four-horned antelope, gaur, wild boar, and Indian elephant. Other mammals - gray langur, bonnet macaque, jungle cat, leopard cat, slender loris, small Indian civet and Asian palm civet, Indian brown mongoose and stripe-necked mongoose, European otter, Indian giant flying squirrel, Indian giant squirrel, porcupine, golden jackal, chevrotain, hare and Indian pangolin",,
Anamudi Shola National Park,,National Park,Kerala,https://en.wikipedia.org/wiki/Anamudi_Shola_National_Park,,,,,"The park is administered by Munnar Wildlife Division, together with the nearby Mathikettan Shola National Park, Eravikulam National Park, Pampadum Shola National Park, Chinnar Wildlife Sanctuary and the Kurinjimala Sanctuary, with Anamudi Shola providing connectivity between all these protected areas.",,,"Elephant, Tiger, Nilgiri tahr, Gaur, Spotted Deer, Sambar, Grizzled Giant Squirrel, Hanuman Langur, Sloth Bear, Flying Squirrels",Pambar River,
Eravikulam National Park,,National Park,Kerala,https://en.wikipedia.org/wiki/Eravikulam_National_Park,,,,,"The land of “Neelakurinji”, the flower that blooms once in twelve years Anamudi, the highest peak of western ghats, is located here Vegetation - Rolling grasslands, with shola forests in upper parts",,,"Nilgiri tahr, Neelakurinji lion-tailed macaques, gaur, Indian muntjac and sambar deer",Pambar River (Kerala),
Mathikettan Shola National Park,,National Park,Kerala,https://en.wikipedia.org/wiki/Mathikettan_Shola_National_Park,,,,,The park is located between other reserve forests like Eravikulam National Park and Pampadam Shola National Park,,,Elephants,,
Pambadum Shola National Park,,National Park,Kerala,https://en.wikipedia.org/wiki/Pambadum_Shola_National_Park,,,,,"Forms part of Munnar Wildlife Division, together with the nearby Mathikettan Shola National Park, Eravikulam National Park, Anamudi Shola National Park, Chinnar Wildlife Sanctuary and the Kurinjimala Sanctuary It is a part of Palani hills Keystone species - Nilgiri Marten",,,"Nilgiri marten, Nilgiri wood pigeon, Nilgiri langur, Nilgiri flycatcher, Blue rock-thrush",,
Periyar National Park,,National Park,Kerala,https://en.wikipedia.org/wiki/Periyar_National_Park,,,,,"An elephant reserve and a tiger reserve Located high in the Cardamom Hills and Pandalam Hills of the south Western Ghats The sanctuary surrounds Periyar Lake, a reservoir that formed when the Mullaperiyar Dam was erected in 1895. The park is made up of tropical evergreen and moist deciduous forests, grasslands and stands of eucalyptus",,,"Malabar parakeet, Malabar grey hornbill, Nilgiri laughing thrush, Nilgiri blue robin, great hornbill, Malabar pied hornbill, lion-tailed macaque, hairy-winged bat","Periyar river, Pambar River (Kerala)",
Silent Valley National Park,,National Park,Kerala,https://en.wikipedia.org/wiki/Silent_Valley_National_Park,,,,,"Located in Nilgiri Biosphere Reserve Home to the largest population of lion-tailed macaques Famous for ""Save Silent Valley"" movement",,,"Indian bison, Travancore flying squirrel, Salim Ali's fruit bat, Stripe-necked mongoose, Blue-winged parakeet, Crimson-backed sunbird",Kunthipuzha River,
Hemis National Park,,National Park,Ladakh,https://en.wikipedia.org/wiki/Hemis_National_Park,,,,,Largest national Park of India,,,Snow Leopard,,
Bandhavgarh National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Bandhavgarh_National_Park,,District Umaria,1968,,"Very high tiger density, so the saying Gaurs reintroduced from Kanha National Park Panpatha wildlife sanctuary",,,"Bengal tiger, striped hyena, caracal, gaur, sambar deer, nilgai, barking deer, chital,","Sone River, Ban sagar Lake",
Dinosaur Fossils National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Dinosaur_Fossils_National_Park?action=edit&redlink=1,,Dhar,2011 Narmada River,,,,,,,
Ghughua Fossil Park,Ghughua Fossil National Park,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Ghughua_Fossil_Park,,Dindori district,1983,,,,,,,
Kanha National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Kanha_National_Park,,Mandla district Balaghat district,1955,,largest of the state of Madhya Pradesh with area 941.793 km2.,,,Barasingha or swamp deer,Halo and Banjar rivers,
Kuno National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Kuno_National_Park,,Sheopur & Morena Districts Khathiar-Gir dry deciduous forests ecoregion,2018,,Area 748.761 km2.,,,"Asiatic Lion Reintroduction Project, India's first cheetah sanctuary",Kuno River,
Madhav National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Madhav_National_Park,,Shivpuri District,1959,,"Sakhya Sagar, a man-made reservoir within the park, has been designated as a Ramsar site since 2022.",,,,,
Panna National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Panna_National_Park,,Panna District,1981,,Ken Gharial Sanctuary,,,,Ken river,
Pench National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Pench_National_Park,,,1975,,Pench Tiger Reserve,,,Rudyard Kipling's 'Jungle Book' was set in this NP.,Pench river,
Sanjay National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Sanjay_National_Park,,Narmada Valley,1981,,"dry deciduous forests ecoregion, Sanjay-Dubri Tiger Reserve",,,,,
Satpura National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Satpura_National_Park,,Narmadapuram District,1981,,Bori and Pachmarhi wildlife sanctuaries,,,,,
Van Vihar National Park,,National Park,Madhya Pradesh,https://en.wikipedia.org/wiki/Van_Vihar_National_Park,,Bhopal district,1979,,,,,,,
Chandoli National Park,,National Park,Maharashtra,https://en.wikipedia.org/wiki/Chandoli_National_Park,,,,,2004,,,,,
Gugamal National Park,,National Park,Maharashtra,https://en.wikipedia.org/wiki/Gugamal_National_Park,,,,,,,,,,
Navegaon National Park,Nawegaon National Park,National Park,Maharashtra,https://en.wikipedia.org/wiki/Navegaon_National_Park,,,,,,,,,,
Sanjay Gandhi National Park,Sanjay Gandhi National Park(Borivili),National Park,Maharashtra,https://en.wikipedia.org/wiki/Sanjay_Gandhi_National_Park,,,,,,,,", Indian Leopard, Rhesus Macaque, Bonnet Macaque, Spotted Deer, Hanuman Langur, Indian Flying Fox, Indian Hare, Barking Deer, Porcupine, Asian Palm Civet, Mouse Deer",,
Tadoba Andhari Tiger Reserve,Tadoba Andhari National Park,Tiger Reserve,Maharashtra,https://en.wikipedia.org/wiki/Tadoba_Andhari_Tiger_Reserve,,,,,,,,,,
Pench National Park(Jawaharlal Nehru),,National Park,Maharashtra,,,,,,,,,,,
Keibul Lamjao National Park,Keibul -Lamjao National Park,National Park,Manipur,https://en.wikipedia.org/wiki/Keibul_Lamjao_National_Park,,,,,The world's only floating park.,,,,Loktak Lake,
Shirui National Park,Shiroi National Park,National Park,Manipur,https://en.wikipedia.org/wiki/Shirui_National_Park,,,,,Famous for Shirui Lily; Tropical Forests all over except at hilltops where there are temperate forests,,,"Tragopan, Tiger and Leopard",A number of rivers originate here,
AK National Park,,National Park,Meghalaya,https://en.wikipedia.org/wiki/AK_National_Park?action=edit&redlink=1,,south of Garo Hills,,,Balphakram means 'land of the eternal wind' according to the myth of the Garos .,,"grassland, bamboo forest, tropical deciduous trees and carnivorous plants like the pitcher-plant and Drosera","Wild water buffalo, red panda, elephant and eight cat species, including the tiger and marbled cat",,
Nokrek National Park,,National Park,Meghalaya,https://en.wikipedia.org/wiki/Nokrek_National_Park,,"approximately 2 km away from Tura Peak, is located in the middle of the West, East and North Garo Hills Districts",,,UNESCO World Biosphere Reserve,,,,,
Murlen National Park,,National Park,Mizoram,https://en.wikipedia.org/wiki/Murlen_National_Park,,,,,Is close to the Chin Hills. It lies north of Lengteng Wildlife Sanctuary in the same district,,,,,
Phawngpui National Park,Phawngpui Blue Mountain National Park,National Park,Mizoram,https://en.wikipedia.org/wiki/Phawngpui_National_Park,,,,,"It bears the name of the mountain Phawngpui, often called the Blue Mountain of Mizoram, which is the highest mountain peak in the state, reaching 2,157 m",,,,Chhimtuipui River flowing towards Burma,
Intanki National Park,Inangki National Park,National Park,Nagaland,https://en.wikipedia.org/wiki/Intanki_National_Park,,,,,"The name ""Ntangki"" is derived from the Zeme dialect of the Zeliangrong Nagas.",,,"hoolock gibbon, golden langur, hornbill, Asian palm civet, black stork, tiger, white-breasted kingfisher, monitor lizard, python and sloth bear In 2022, Asian forest tortoises (Manouria emys) were reintroduced into Ntangki National Park in collaboration with the Turtle Survival Alliance and Wildlife Conservation Society India",,
Bhitarkanika National Park,,National Park,Odisha,https://en.wikipedia.org/wiki/Bhitarkanika_National_Park,,,,,"A ramsar site, Gahirmatha Beach and Marine Sanctuary are to the east, separating the swamp region and mangroves from the Bay of Bengal",,,"Mangroves, saltwater crocodile, white crocodile, Indian python, black ibis, wild pigs, rhesus monkeys, olive ridley sea turtle, chital",,"Brahmani River, Baitarani River, Pathsala"
Simlipal National Park,,National Park,Odisha,https://en.wikipedia.org/wiki/Simlipal_National_Park,,,,,"It is part of the Mayurbhanj Elephant Reserve, which includes three protected areas, Similipal Tiger Reserve, Hadgarh Wildlife Sanctuary and Kuldiha Wildlife Sanctuary. It is UNESCO World Network of Biosphere Reserves",,,"Tiger, leopard, Asian elephant, sambar, barking deer, gaur, jungle cat, wild boar",,
Desert National Park,,National Park,Rajasthan,https://en.wikipedia.org/wiki/Desert_National_Park,,,,,,,,"Chinkara (Gazella bennettii), Indian desert cat, demoiselle crane, great Indian bustard and MacQueen's bustard.",,
Keoladeo National Park,Keoladeo Ghana National Park,National Park,Rajasthan,https://en.wikipedia.org/wiki/Keoladeo_National_Park,,,,,UNESCO World Heritage Site Ramsar Wetland,,,,,
Mukundara Hills National Park,,National Park,Rajasthan,https://en.wikipedia.org/wiki/Mukundara_Hills_National_Park,,,,,National Chambal Sanctuary is part of the national park,,,,"Chambal river, Kali river, Ahu river, Ramzan river.",
Ranthambore National Park,,National Park,Rajasthan,https://en.wikipedia.org/wiki/Ranthambore_National_Park,,,,,ecoregion includes Khathiar-Gir dry deciduous forests,,,Tiger Reserve.,"Banas, Chambal",
Sariska Tiger Reserve,,Tiger Reserve,Rajasthan,https://en.wikipedia.org/wiki/Sariska_Tiger_Reserve,,,,,Khathiar-Gir dry deciduous forests ecoregion It is an important biodiversity area in the Northern Aravalli leopard and wildlife corridor,,,,,
Khangchendzonga National Park,,National Park,Sikkim,https://en.wikipedia.org/wiki/Khangchendzonga_National_Park,,,,,"UNESCO World Heritage Site. Houses the third highest peak on the planet, Mt. Kangchenjunga (Mt. Everest is first, Mt. K2 is second). The Zemu glacier, one of the largest in Asia, is located within the park.",,,"Musk deer, snow leopard, Himalayan tahr, dhole, sloth bear, viverrids, Himalayan black bear, red panda, Tibetan wild ass, Himalayan blue sheep, serow, goral and takin",Teesta (to the east),
Anaimalai Tiger Reserve,Indira Gandhi Sanctuary and National Park(Annamalai),Tiger Reserve,Tamil Nadu,https://en.wikipedia.org/wiki/Anaimalai_Tiger_Reserve,,,,,Also called as Anaimalai Tiger Reserve,,,"Tigers, leopards, elephants, wildboars, deer, dhole.",,
Guindy National Park,,National Park,Tamil Nadu,https://en.wikipedia.org/wiki/Guindy_National_Park,,,,,,,,"Has more than 2000 chitals, 493 blackbucks and 84 jackals.",,
Gulf of Mannar Marine National Park,,National Park,Tamil Nadu,https://en.wikipedia.org/wiki/Gulf_of_Mannar_Marine_National_Park,,,,,,,"Mangroove species like Rhizophora, Avicennia, Bruguiera, Ceriops and Lumnitzera.",has 8 species of whales and 21 small coral islands,,
Mudumalai National Park,,National Park,Tamil Nadu,https://en.wikipedia.org/wiki/Mudumalai_National_Park,,,,,Part of Nilgiri Biosphere Reserve. Second oldest National Park in India. Largest National Park in Tamil Nadu.,,,"Bengal tiger, indian leopard, dhole, golden jackal, sloth bear, Indian elephants, gray langur, Lion tailed macaque, bonnet macaque, gaur, sambar deer, chital deer, Indian muntjac, Indian spotted chevrotain, wild boar Rodents include the Indian giant squirrel and the red giant flying squirrel",Moyar River,
Mukurthi National Park,,National Park,Tamil Nadu,https://en.wikipedia.org/wiki/Mukurthi_National_Park,,,,,"Part of Nilgiri Biosphere Reserve and is also UNESCO World Heritage Site.The park was created to protect its keystone species, the Nilgiri tahr characterized by montane grasslands and shrublands interspersed with sholas",,,Nilgiri tahr,,
Mahavir Harina Vanasthali National Park,,National Park,Telangana,https://en.wikipedia.org/wiki/Mahavir_Harina_Vanasthali_National_Park,,,,,It is spread over 3605 acres,,,"Black buck, cheetal deer, wild boar, peacock",,
Kasu Brahmananda Reddy National Park,,National Park,Telangana,https://en.wikipedia.org/wiki/Kasu_Brahmananda_Reddy_National_Park,,,,,It is a located in the concrete jungles of Jubilee Hills and Banjara Hills in Hyderabad. The park has an approximate area of 390-acre (1.6 km2),,,Peacock,Chiran Kunta,
Mrugavani National Park,,National Park,Telangana,https://en.wikipedia.org/wiki/Mrugavani_National_Park,,,,,This park covers an area of 3.6 square kilometres (1.4 sq mi) or 1211 acres.,,,"Chital, Sambar, Wild boar, Jungle Cat Civets Indian, Grey Mongoose",,
Rajbari National Park,Bison (Rajbari) National Park,National Park,Tripura,https://en.wikipedia.org/wiki/Rajbari_National_Park,,,,,,,,,,
Clouded Leopard National Park,,National Park,Tripura,https://en.wikipedia.org/wiki/Clouded_Leopard_National_Park,,,,,,,,,,
Dudhwa National Park,,National Park,Uttar Pradesh,https://en.wikipedia.org/wiki/Dudhwa_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Dudhwa_National_Park%2C_Lucknow_division%2C_Uttar_Pradesh%2C_India_%2830783128830%29.jpg/250px-Dudhwa_National_Park%2C_Lucknow_division%2C_Uttar_Pradesh%2C_India_%2830783128830%29.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,"Near Palia Kalan, Gola Gokarannath Located in Lakhimpur Kheri district.",1977,,Park is home of world's half population of Barasingha Also a tiger sanctuary under Project Tiger,,,"Barasingha, Bengal tiger",Sharda River,
Gangotri National Park,,National Park,Uttarakhand,https://en.wikipedia.org/wiki/Gangotri_National_Park,,,,,,,,Gaumukh Glacier,Bhagirathi,
Govind Pashu Vihar National Park,,National Park,Uttarakhand,https://en.wikipedia.org/wiki/Govind_Pashu_Vihar_National_Park,,,,,,,,,,
