protectedAreaName,protectedAreaType,state,wikipediaUrl,declared,area,district
Kachhua Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Kachhua_Sanctuary,1989,7,Varanasi
Kaimoor Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Kaimoor_Wildlife_Sanctuary,1982,500.73,"Mirzapur, Sonbhadra"
Katarniaghat Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Katarniaghat_Wildlife_Sanctuary,1976,400.09,Bahraich
Kishanpur Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Kishanpur_Wildlife_Sanctuary,1972,227,"Lakhimpur-Kheri, Shahjahanpur"
Lakh Bahosi Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Lakh_Bahosi_Sanctuary,1988,80.24,Farrukhabad
Mahavir Swami Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Mahavir_Swami_Wildlife_Sanctuary,1977,5.41,Lalitpur
National Chambal Wildlife Sanctuary,National Park,Uttar Pradesh,https://en.wikipedia.org/wiki/National_Chambal_Wildlife_Sanctuary,1979,635,"Agra, Etawah"
Nawabganj Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Nawabganj_Bird_Sanctuary,1984,2.25,"Unnao, Lucknow"
Okhla Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Okhla_Sanctuary,1990,4,Gautam Buddh Nagar
Parvati Arga Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Parvati_Arga_Wildlife_Sanctuary,1990,10.84,Gonda
Patna Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Patna_Bird_Sanctuary,1990,1.09,Etah
Pilibhit Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Pilibhit_Wildlife_Sanctuary?action=edit&redlink=1,2014,730.24,Pilibhit
Ranipur Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Ranipur_Wildlife_Sanctuary,1977,230.31,"Banda, Chitrakoot"
Saman Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Saman_Bird_Sanctuary,1990,5.26,Mainpuri
Samaspur Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Samaspur_Bird_Sanctuary,1987,7.99,Rae Bareli
Sandi Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Sandi_Bird_Sanctuary,1990,3.09,Hardoi
Shekha Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Shekha_Bird_Sanctuary,2016,0.25,Aligarh
Sohagi Barwa Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Sohagi_Barwa_Wildlife_Sanctuary,1987,428.2,Maharajganj
Sohelwa Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Sohelwa_Wildlife_Sanctuary,1988,452.47,"Balrampur, Shravasti"
Sur Sarovar Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Sur_Sarovar_Sanctuary,1991,4.03,Agra
Surha Tal Bird Sanctuary,Bird Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Surha_Tal_Bird_Sanctuary,1991,34.32,Ballia
Vijai Sagar Wildlife Sanctuary,Wildlife Sanctuary,Uttar Pradesh,https://en.wikipedia.org/wiki/Vijai_Sagar_Wildlife_Sanctuary,1990,2.62,Mahoba
Askot Musk Deer Sanctuary,Wildlife Sanctuary,Uttarakhand,https://en.wikipedia.org/wiki/Askot_Musk_Deer_Sanctuary,1986,600,Pithoragarh
Binsar Wildlife Sanctuary,Wildlife Sanctuary,Uttarakhand,https://en.wikipedia.org/wiki/Binsar_Wildlife_Sanctuary,1988,47.07,Almora
Govind Pashu Vihar Wildlife Sanctuary,Wildlife Sanctuary,Uttarakhand,https://en.wikipedia.org/wiki/Govind_Pashu_Vihar_Wildlife_Sanctuary,1955,485.89,Uttarkashi
Kedarnath Wildlife Sanctuary,Wildlife Sanctuary,Uttarakhand,https://en.wikipedia.org/wiki/Kedarnath_Wildlife_Sanctuary,1972,975.2,"Chamoli, Rudraprayag"
Mussoorie Wildlife Sanctuary,Wildlife Sanctuary,Uttarakhand,https://en.wikipedia.org/wiki/Mussoorie_Wildlife_Sanctuary,1993,10.82,Dehradun
Nandhaur Wildlife Sanctuary,Wildlife Sanctuary,Uttarakhand,https://en.wikipedia.org/wiki/Nandhaur_Wildlife_Sanctuary,2012,269.96,"Champawat, Nainital"
Sonanadi Wildlife Sanctuary,Wildlife Sanctuary,Uttarakhand,https://en.wikipedia.org/wiki/Sonanadi_Wildlife_Sanctuary,1987,301.18,Pauri Garhwal
Ballabhpur Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Ballabhpur_Wildlife_Sanctuary,1977,2.02,Birbhum
Bethuadahari Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Bethuadahari_Wildlife_Sanctuary,1980,0.67,Nadia
Bibhutibhushan Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Bibhutibhushan_Wildlife_Sanctuary,1985,0.64,North 24-Paraganas
Buxa Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Buxa_Tiger_Reserve,1986,251.89,Jalpaiguri
Chapramari Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Chapramari_Wildlife_Sanctuary,1976,9.6,Jalpaiguri
Chintamoni Kar Wildlife Sanctuary,Wildlife Sanctuary,West Bengal,https://en.wikipedia.org/wiki/Chintamoni_Kar_Bird_Sanctuary,1982,0.07,South 24 Parganas
