protectedAreaName,protectedAreaType,state,wikipediaUrl,inclusion,lastNotified,latitude,longitude,tigerPopulation2022,areaCoreKm2,areaBufferKm2,areaTotalKm2
Pilibhit Tiger Reserve,Tiger Reserve,Uttar Pradesh,https://en.wikipedia.org/wiki/Pilibhit_Tiger_Reserve,2014,2014,28.718811,80.071968,63,602.79,127.45,730.25
Bor Tiger Reserve,Tiger Reserve,Maharashtra,https://en.wikipedia.org/wiki/Bor_Wildlife_Sanctuary,2014,2012,20.9775,78.67583,9,138.12,678.15,816.27
Rajaji Tiger Reserve,Tiger Reserve,Uttarakhand,https://en.wikipedia.org/wiki/Rajaji_National_Park,2015,2015,30.05806,78.17278,54,819.54,255.63,"1,075.17"
Orang Tiger Reserve,Tiger Reserve,Assam,https://en.wikipedia.org/wiki/Orang_National_Park,2016,2016,26.55694,92.32778,16,79.28,413.18,492.46
Kamlang Tiger Reserve,Tiger Reserve,Arunachal Pradesh,https://en.wikipedia.org/wiki/Kamlang_Wildlife_Sanctuary,2016,2017,27.66667,96.43333,0,671.00,112.00,783.00
Srivilliputhur–Megamalai Tiger Reserve,Tiger Reserve,Tamil Nadu,https://en.wikipedia.org/wiki/Srivilliputhur-Megamalai_Tiger_Reserve,2021,2021,9.39389,77.36417,12,641.86,374.7,"1,016.57"
Ramgarh Vishdhari Tiger Reserve,Tiger Reserve,Rajasthan,https://en.wikipedia.org/wiki/Ramgarh_Vishdhari_Wildlife_Sanctuary,2022,2022,25.98333,75.31667,1,481.91,"1,019.99","1,501.90"
Ranipur Tiger Reserve,Tiger Reserve,Uttar Pradesh,https://en.wikipedia.org/wiki/Ranipur_Wildlife_Sanctuary,2022,2022,24.96,81.064,0,230.31,299.05,529.36
Veerangana Durgavati Tiger Reserve,Tiger Reserve,Madhya Pradesh,https://en.wikipedia.org/wiki/Veerangana_Durgavati_Wildlife_Sanctuary,2023,2023,23.54,79.72,0,"1,414.00",925.12,"2,339.12"
Dholpur-Karauli Tiger Reserve,Tiger Reserve,Rajasthan,https://en.wikipedia.org/wiki/Dholpur—Karauli_Tiger_Reserve?action=edit&redlink=1,2023,2023,26.5,77.02,0,599.64,0.00,599.64
Guru Ghasidas–Tamor Pingla Tiger Reserve,Tiger Reserve,Chhattisgarh,https://en.wikipedia.org/wiki/Guru_Ghasidas_-_Tamor_Pingla_Tiger_Reserve,2024,2024,23.60194,82.47194,0,"2,049.23",780.15,"2,829.38"
Ratapani Tiger Reserve,Tiger Reserve,Madhya Pradesh,https://en.wikipedia.org/wiki/Ratapani_Tiger_Reserve,2024,2024,22.917528,77.72222,0,763.81,507.65,"1,271.47"
Madhav Tiger Reserve,Tiger Reserve,Madhya Pradesh,https://en.wikipedia.org/wiki/Madhav_National_Park,2024,2024,25.5,77.81667,5,355.00,"1,276.00","1,751.00"
