"paName","state","correctPaName","correctState","correctPaType","orderNumber","correctOrderNumber"
"Cinque Island Wildlife Sanctuary","Andaman and Nicobar","Cinque Islands Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Clyde Wildlife Sanctuary","Andaman and Nicobar","Clyde Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Cone Wildlife Sanctuary","Andaman and Nicobar","Cone Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Curlew Bp Wildlife Sanctuary","Andaman and Nicobar","Curlew (B.P.) Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Curlew Wildlife Sanctuary","Andaman and Nicobar","Curlew Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Defence Wildlife Sanctuary","Andaman and Nicobar","Defence Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Dot Wildlife Sanctuary","Andaman and Nicobar","Dot Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Dotrell Wildlife Sanctuary","Andaman and Nicobar","Dottrell Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Duncan Wildlife Sanctuary","Andaman and Nicobar","Duncan Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"East Wildlife Sanctuary","Andaman and Nicobar","East Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Egg Wildlife Sanctuary","Andaman and Nicobar","Egg Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Entrance Wildlife Sanctuary","Andaman and Nicobar","Entrance Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Flat Wildlife Sanctuary","Andaman and Nicobar","Flat Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Gander Wildlife Sanctuary","Andaman and Nicobar","Gander Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Goose Wildlife Sanctuary","Andaman and Nicobar","Goose Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Gurjan Wildlife Sanctuary","Andaman and Nicobar","Girjan Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Hump Wildlife Sanctuary","Andaman and Nicobar","Hump Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Inglis Wildlife Sanctuary","Andaman and Nicobar","East of Inglis Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Interview Wildlife Sanctuary","Andaman and Nicobar","Interview Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"James Wildlife Sanctuary","Andaman and Nicobar","James Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Jungle Wildlife Sanctuary","Andaman and Nicobar","Jungle Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
