wikidataId,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl
Q6965894,Nargu Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Nargu%20WLS%20North%20Remote%20Snow%20Himachal%20Jan15%20DSC%206939.jpg,IUCN category IV: Habitat/Species Management Area,Himachal Pradesh; Mandi district; Kullu district,Himachal Pradesh,32.0139,76.8572,,,,,,Nargu Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Nargu_Wildlife_Sanctuary
Q6971439,National Chambal Sanctuary,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Chambal%20river%20near%20Dhaulpur%2C%20India.jpg,IUCN category IV: Habitat/Species Management Area,Morena district,Madhya Pradesh,26.768333333,78.644444444,Morena,,,,,,,https://en.wikipedia.org/wiki/National_Chambal_Sanctuary
Q6982793,Nawabganj Bird Sanctuary,Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Nawabganj%20Bird%20Sanctuary%2C%20Unnao%2003.JPG,IUCN category IV: Habitat/Species Management Area,Uttar Pradesh,Uttar Pradesh,26.6191858,80.6531205,,,,,,Nawabganj Bird Sanctuary,,https://en.wikipedia.org/wiki/Nawabganj_Bird_Sanctuary
Q7005299,New Amarambalam Reserved Forest,,Western Ghats,http://commons.wikimedia.org/wiki/Special:FilePath/Nilgiri%20wood%20pigeon%20%28Columba%20elphinstonii%29.jpg,IUCN category II: National Park,,,11.23333333,76.18333333,Nilambur,part of UNESCO World Heritage Site,24697,,,New Amarambalam Reserved Forest,,https://en.wikipedia.org/wiki/New_Amarambalam_Reserved_Forest
Q7012129,Eco Park,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lush%20green%20grass%20along%20the%20lake.jpg,IUCN category V: Protected Landscape/Seascape,New Town,West Bengal,22.5989,88.4669,,,,,,"Eco Park, New Town",,"https://en.wikipedia.org/wiki/Eco_Park,_New_Town"
Q7050184,Noradehi,,,,IUCN category IV: Habitat/Species Management Area,,,23.17814167,79.20188611,,,,,,,,https://en.wikipedia.org/wiki/Noradehi
Q7081968,Okhla Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Okhla%20bird%20sanctuary%20Entrance.jpeg,IUCN category IV: Habitat/Species Management Area,Uttar Pradesh,Uttar Pradesh,28.565,77.303,Noida,,,,,Okhla Bird Sanctuary,,https://en.wikipedia.org/wiki/Okhla_Sanctuary
Q7122045,Pachmarhi Biosphere Reserve,,,,,,,22.183,77.783,,,,,,Pachmarhi Biosphere Reserve,,https://en.wikipedia.org/wiki/Pachmarhi_Biosphere_Reserve
Q7929607,Vikramshila Gangetic Dolphin Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Ganga%20dolphin%20Bhagalpur.JPG,IUCN category IV: Habitat/Species Management Area,Bihar,Bihar,25.269611111,87.026305555,,,,,,,,https://en.wikipedia.org/wiki/Vikramshila_Gangetic_Dolphin_Sanctuary
Q8050448,Yawal Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Jalgaon district,Maharashtra,21.382,75.876,Burhanpur,,177.52,,,Yawal Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Yawal_Wildlife_Sanctuary
