wikidataId,wikidataUrl,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,stateSuggestedQid,stateSuggestedLabel,stateConfidence,stateEvidence,quickstatement
Q3364450,https://www.wikidata.org/wiki/Q3364450,Gugamal National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Forest%20Owlet%20%28Heteroglaux%20blewitti%2C%20Athene%20blewitti%29%20in%20Melghat%20Tiger%20Reserve%20Maharashtra%20%282%29.jpg,IUCN category II: National Park,,,21.40555556,77.14861111,,,,,,,,https://en.wikipedia.org/wiki/Gugamal_National_Park,Q1191,Maharashtra,medium,"wikilink #10 in the lead, ""Maharashtra"" (Q1191), is an instance of Q12443800",Q3364450	P131	Q1191
Q3364465,https://www.wikidata.org/wiki/Q3364465,Middle Button Island National Park,National Park,,,IUCN category II: National Park,,,12.27555556,93.02611111,,,,,,,,https://en.wikipedia.org/wiki/Middle_Button_Island_National_Park,Q40888,Andaman and Nicobar Islands,high,"1st wikilink in the lead, ""Andaman and Nicobar"" (Q40888), is an instance of Q467745",Q3364465	P131	Q40888
Q3364468,https://www.wikidata.org/wiki/Q3364468,North Button Island National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Button%20Islands-North%20Button.png,IUCN category II: National Park,,,12.31722222,93.06805556,,,,,,,,https://en.wikipedia.org/wiki/North_Button_Island_National_Park,Q40888,Andaman and Nicobar Islands,medium,"wikilink #2 in the lead, ""Andaman and Nicobar Islands"" (Q40888), is an instance of Q467745",Q3364468	P131	Q40888
Q3457187,https://www.wikidata.org/wiki/Q3457187,Dampa Tiger Reserve,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/Dampa%20Tiger%20Reserve%20Forest.jpg,IUCN category IV: Habitat/Species Management Area,,,23.41666667,92.33333333,,,,,,,,https://en.wikipedia.org/wiki/Dampa_Tiger_Reserve,Q1502,Mizoram,high,"1st wikilink in the lead, ""Mizoram"" (Q1502), is an instance of Q12443800",Q3457187	P131	Q1502
Q2125633,https://www.wikidata.org/wiki/Q2125633,Radhanagari Wildlife Sanctuary,Wildlife Sanctuary,Western Ghats,http://commons.wikimedia.org/wiki/Special:FilePath/Radhanagri%20wildlife%20reserve.jpg,IUCN category IV: Habitat/Species Management Area,,,16.384,73.956,Kolhapur,part of UNESCO World Heritage Site,351.16,,,Radhanagari Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Radhanagari_Wildlife_Sanctuary,Q1191,Maharashtra,medium,"wikilink #2 in the lead, ""Maharashtra"" (Q1191), is an instance of Q12443800",Q2125633	P131	Q1191
Q2281202,https://www.wikidata.org/wiki/Q2281202,Gangotri National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Gomukha%20gangotri.jpg,IUCN category II: National Park,,,31.088194444,79.1455,Uttarkashi,,,,,Gangotri National Park,,https://en.wikipedia.org/wiki/Gangotri_National_Park,Q1499,Uttarakhand,medium,"wikilink #2 in the lead, ""Uttarakhand"" (Q1499), is an instance of Q12443800",Q2281202	P131	Q1499
Q2429161,https://www.wikidata.org/wiki/Q2429161,Melghat,,,http://commons.wikimedia.org/wiki/Special:FilePath/Melghat%20Tiger%20Reserve.JPG,,,,21.44583333,77.19722222,,,,http://melghattiger.gov.in/,,Melghat,,https://en.wikipedia.org/wiki/Melghat,Q1191,Maharashtra,medium,"wikilink #2 in the lead, ""Maharashtra"" (Q1191), is an instance of Q12443800",Q2429161	P131	Q1191
Q32171,https://www.wikidata.org/wiki/Q32171,protected area of Himachal Pradesh,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/List_of_protected_areas_of_Himachal_Pradesh,Q1177,Himachal Pradesh,high,"1st wikilink in the lead, ""Himachal Pradesh"" (Q1177), is an instance of Q12443800",Q32171	P131	Q1177
Q37564,https://www.wikidata.org/wiki/Q37564,Kadalundi Bird Sanctuary,Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Kadalundi%20Bird%20Sanctuary.jpg,,,,11.131,75.829,,,,,,Kadalundi Bird Sanctuary,,https://en.wikipedia.org/wiki/Kadalundi_Bird_Sanctuary,Q1186,Kerala,medium,"wikilink #4 in the lead, ""Kerala"" (Q1186), is an instance of Q12443800",Q37564	P131	Q1186
Q7559997,https://www.wikidata.org/wiki/Q7559997,Someshwara Wildlife Sanctuary,Wildlife Sanctuary,Western Ghats,,IUCN category IV: Habitat/Species Management Area,,,13.48333333,74.83333333,,part of UNESCO World Heritage Site,8840,,,Someshwara Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Someshwara_Wildlife_Sanctuary,Q1185,Karnataka,medium,"wikilink #2 in the lead, ""Karnataka"" (Q1185), is an instance of Q12443800",Q7559997	P131	Q1185
