"orderNumber","notificationDate","protectedAreaName","wikidataId","archiveLink","archiveMatchMethod","archiveIdentifier","archiveCollection","archiveCreator","archiveDate","archiveMinistry","archiveDepartment","archiveSubject","archiveGazetteSource","allmaps images","toposheet page","toposheet thumbnail","allmaps editor","tms"
"S.O. 3151(E)","2019-08-30","Ramnabagan Wildlife Sanctuary","Q7289748","https://archive.org/details/in.gazette.central.e.2019-08-30.211905","description","in.gazette.central.e.2019-08-30.211905","gazetteofindia;JaiGyan","Government of India","2019-08-30","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India, Extraordinary vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-08-30.211905/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3152(E)","2019-08-30","Lakh Bahosi Bird Sanctuary","Q6479478","https://archive.org/details/in.gazette.central.e.2019-08-30.211906","description","in.gazette.central.e.2019-08-30.211906","gazetteofindia;JaiGyan","Government of India","2019-08-30","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft re notification was published in the Gazette of India, Extraordinary, vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-08-30.211906/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3153(E)","2019-08-30","Nawabganj (saheed Chandra Shekhar Azad)Bird",,"https://archive.org/details/in.gazette.central.e.2019-08-30.211982","description","in.gazette.central.e.2019-08-30.211982","gazetteofindia;JaiGyan","Government of India","2019-08-30","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft re notification was published in the Gazette of India, Extraordinary,",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-08-30.211982/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3153(E)","2019-08-30","Nawabganj Bird Sanctuary","Q6982793",,,,,,,,,,,,,,,
"S.O. 3169(E)","2018-06-29","Mudumalai Tiger Reserve","Q2372700","https://archive.org/details/in.gazette.central.e.2018-06-29.186972","description","in.gazette.central.e.2018-06-29.186972","gazetteofindia;JaiGyan","Government of India","2018-06-29","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2018-06-29.186972/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 318(E)","2019-01-15","Chintamoni Bird Sanctuary","Q5101326","https://archive.org/details/in.gazette.central.e.2019-01-15.195414","description","in.gazette.central.e.2019-01-15.195414","gazetteofindia;JaiGyan","Government of India","2019-01-15","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-01-15.195414/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 319(E)","2019-01-15","Senchal Wildlife Sanctuary","Q7450103","https://archive.org/details/in.gazette.central.e.2019-01-15.195420","description","in.gazette.central.e.2019-01-15.195420","gazetteofindia;JaiGyan","Government of India","2019-01-15","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment Forest",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-01-15.195420/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3193 (E)","2017-09-29","Sechu Tuan Nala Wildlife Sanctuary","Q137008771","https://archive.org/details/in.gazette.central.e.2017-09-29.179350","description","in.gazette.central.e.2017-09-29.179350","gazetteofindia;JaiGyan","Government of India","2017-09-29","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification was published in the Gazette of India, Extraordinary, vide notification of the Government",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-09-29.179350/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3194 (E)","2017-09-29","Yawal Wildlife Sanctuary","Q8050448","https://archive.org/details/in.gazette.central.e.2017-09-29.179355","title","in.gazette.central.e.2017-09-29.179355","gazetteofindia;JaiGyan","Government of India","2017-09-29","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-09-29.179355/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3202","2013-10-18","Thol Wildlife Sanctuary","Q7786672","https://archive.org/details/in.gazette.central.e.2013-10-18.156750","title","in.gazette.central.e.2013-10-18.156750","gazetteofindia;JaiGyan","Government of India","2013-10-18","Ministry of Environment and Forests",,"The Central Govt. notice is hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette of India containing this notification are made available to the Public.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2013-10-18.156750/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
